id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19091,Rental unit in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1 bath,72880,John,Leonidas,29.961,-90.1195,Entire home/apt,60,1,503,06-11-2023,3.03,1,0
71624,Rental unit in New Orleans · ★4.94 · 1 bedroom · 1 bed · 1 bath,367223,Susan,Bywater,29.96153,-90.04364,Entire home/apt,150,3,293,23-10-2023,1.88,1,336
74498,Rental unit in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 bath,391462,Georgia,St. Roch,29.96986,-90.05172,Entire home/apt,91,3,603,19-11-2023,3.89,3,237
79536,Rental unit in New Orleans · ★4.89 · 1 bedroom · 2 beds · 1 bath,428362,Miriam,Seventh Ward,29.97803,-90.0745,Entire home/apt,31,14,702,26-11-2023,4.58,1,0
79609,Guest suite in New Orleans · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,428909,Stephen,St. Claude,29.96448,-90.03667,Private room,119,3,487,28-11-2023,3.14,1,296
80869,Home in New Orleans · ★4.82 · 1 bedroom · 1 bed · 2 shared baths,437783,Joanne,Marigny,29.96811,-90.05905,Private room,75,30,915,21-10-2023,5.92,2,89
84725,Boutique hotel in New Orleans · ★3.67 · 1 bedroom · 2 beds · 1 private bath,85132,Sanford,Central City,29.93608,-90.07997,Private room,317,30,5,01-01-2016,0.03,8,365
89173,Rental unit in New Orleans · ★4.94 · 1 bedroom · 1 bed · 1 bath,486093,Virginia,Marigny,29.96364,-90.0591,Entire home/apt,125,31,472,06-11-2023,3.1,2,222
90806,Rental unit in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1 bath,485705,Tom,Mid-City,29.97264,-90.09992,Entire home/apt,97,30,142,29-06-2023,0.96,1,330
183207,Home in New Orleans · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,437783,Joanne,Marigny,29.96811,-90.05905,Private room,75,30,853,11-11-2023,5.75,2,97
184478,Home in New Orleans · 2 bedrooms · 2 beds · 1 shared bath,884946,DJoseph,Fillmore,30.01387,-90.08049,Private room,199,30,2,26-02-2020,0.04,1,0
204998,Rental unit in New Orleans · ★4.66 · 2 bedrooms · 2 beds · 2.5 baths,1006034,Gwendolyn,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,94,30,207,05-09-2022,1.4,5,179
205008,Townhouse in New Orleans · ★4.83 · 2 bedrooms · 2 beds · 2.5 baths,1006034,Gwendolyn,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,125,30,290,01-11-2022,1.96,5,179
228560,Bungalow in New Orleans · ★4.83 · 3 bedrooms · 4 beds · 3 baths,1192986,Dayna,Marigny,29.96524,-90.05901,Entire home/apt,325,2,118,12-11-2023,1.15,1,52
240258,Rental unit in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 bath,391462,Georgia,St. Roch,29.96929,-90.05172,Entire home/apt,89,3,573,19-11-2023,3.89,3,249
